차종별,용도별,행정구역(시)별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
합계,합계,합계,시별 자동차등록[대],대,257154,294488,334426,384117,435015,467243,532838,553578
합계,합계,제주시,시별 자동차등록[대],대,185856,221472,258864,304728,348784,373706,430660,450061
합계,합계,서귀포시,시별 자동차등록[대],대,71298,73016,75562,79389,86231,93537,102178,103517
합계,관용,합계,시별 자동차등록[대],대,1523,1643,1708,1752,1845,1973,2265,2270
합계,관용,제주시,시별 자동차등록[대],대,1080,1169,1150,1185,1241,1334,1526,1526
합계,관용,서귀포시,시별 자동차등록[대],대,443,474,558,567,604,639,739,744
합계,자가용,합계,시별 자동차등록[대],대,230926,260923,285863,310997,338719,354642,366573,368527
합계,자가용,제주시,시별 자동차등록[대],대,162391,190704,212933,234291,255258,264132,267180,267803
합계,자가용,서귀포시,시별 자동차등록[대],대,68535,70219,72930,76706,83461,90510,99393,100724
합계,영업용,합계,시별 자동차등록[대],대,24705,31922,46855,71368,94451,110628,164000,182781
합계,영업용,제주시,시별 자동차등록[대],대,22385,29599,44781,69252,92285,108240,161954,180732
합계,영업용,서귀포시,시별 자동차등록[대],대,2320,2323,2074,2116,2166,2388,2046,2049
승용차,합계,합계,시별 자동차등록[대],대,174941,210802,247543,293527,339547,368293,431287,451887
승용차,합계,제주시,시별 자동차등록[대],대,131510,165692,200373,243174,283426,306025,361261,380668
승용차,합계,서귀포시,시별 자동차등록[대],대,43431,45110,47170,50353,56121,62268,70026,71219
승용차,관용,합계,시별 자동차등록[대],대,484,590,599,616,652,694,824,829
승용차,관용,제주시,시별 자동차등록[대],대,347,418,417,432,463,487,572,572
승용차,관용,서귀포시,시별 자동차등록[대],대,137,172,182,184,189,207,252,257
승용차,자가용,합계,시별 자동차등록[대],대,156770,185744,208340,230895,254877,267787,278169,279904
승용차,자가용,제주시,시별 자동차등록[대],대,115177,142517,162812,182200,200476,207424,209711,210234
승용차,자가용,서귀포시,시별 자동차등록[대],대,41593,43227,45528,48695,54401,60363,68458,69670
승용차,영업용,합계,시별 자동차등록[대],대,17687,24468,38604,62016,84018,99812,152294,171154
승용차,영업용,제주시,시별 자동차등록[대],대,15986,22757,37144,60542,82487,98114,150978,169862
승용차,영업용,서귀포시,시별 자동차등록[대],대,1701,1711,1460,1474,1531,1698,1316,1292
승합차,합계,합계,시별 자동차등록[대],대,18562,18935,19659,20634,21392,21139,20556,20190
승합차,합계,제주시,시별 자동차등록[대],대,14300,14806,15593,16643,17440,17186,16686,16361
승합차,합계,서귀포시,시별 자동차등록[대],대,4262,4129,4066,3991,3952,3953,3870,3829
승합차,관용,합계,시별 자동차등록[대],대,310,312,333,349,356,383,414,410
승합차,관용,제주시,시별 자동차등록[대],대,227,232,212,223,224,241,264,266
승합차,관용,서귀포시,시별 자동차등록[대],대,83,80,121,126,132,142,150,144
승합차,자가용,합계,시별 자동차등록[대],대,14202,14199,14290,14238,14113,13688,12389,12245
승합차,자가용,제주시,시별 자동차등록[대],대,10172,10291,10449,10479,10379,9977,8822,8712
승합차,자가용,서귀포시,시별 자동차등록[대],대,4030,3908,3841,3759,3734,3711,3567,3533
승합차,영업용,합계,시별 자동차등록[대],대,4050,4424,5036,6047,6923,7068,7753,7535
승합차,영업용,제주시,시별 자동차등록[대],대,3901,4283,4932,5941,6837,6968,7600,7383
승합차,영업용,서귀포시,시별 자동차등록[대],대,149,141,104,106,86,100,153,152
화물차,합계,합계,시별 자동차등록[대],대,63066,64094,66523,69177,73181,76781,79755,80217
화물차,합계,제주시,시별 자동차등록[대],대,39635,40497,42391,44345,47262,49739,51770,52058
화물차,합계,서귀포시,시별 자동차등록[대],대,23431,23597,24132,24832,25919,27042,27985,28159
화물차,관용,합계,시별 자동차등록[대],대,670,676,706,713,760,820,946,950
화물차,관용,제주시,시별 자동차등록[대],대,473,480,482,489,515,566,644,644
화물차,관용,서귀포시,시별 자동차등록[대],대,197,196,224,224,245,254,302,306
화물차,자가용,합계,시별 자동차등록[대],대,59674,60689,62931,65517,69336,72727,75456,75801
화물차,자가용,제주시,시별 자동차등록[대],대,36852,37699,39465,41369,44125,46422,48239,48439
화물차,자가용,서귀포시,시별 자동차등록[대],대,22822,22990,23466,24148,25211,26305,27217,27362
화물차,영업용,합계,시별 자동차등록[대],대,2722,2729,2886,2947,3085,3234,3353,3466
화물차,영업용,제주시,시별 자동차등록[대],대,2310,2318,2444,2487,2622,2751,2887,2975
화물차,영업용,서귀포시,시별 자동차등록[대],대,412,411,442,460,463,483,466,491
특수차,합계,합계,시별 자동차등록[대],대,585,657,701,779,895,1030,1240,1284
특수차,합계,제주시,시별 자동차등록[대],대,411,477,507,566,656,756,943,974
특수차,합계,서귀포시,시별 자동차등록[대],대,174,180,194,213,239,274,297,310
특수차,관용,합계,시별 자동차등록[대],대,59,65,70,74,77,76,81,81
특수차,관용,제주시,시별 자동차등록[대],대,33,39,39,41,39,40,46,44
특수차,관용,서귀포시,시별 자동차등록[대],대,26,26,31,33,38,36,35,37
특수차,자가용,합계,시별 자동차등록[대],대,280,291,302,347,393,440,559,577
특수차,자가용,제주시,시별 자동차등록[대],대,190,197,207,243,278,309,408,418
특수차,자가용,서귀포시,시별 자동차등록[대],대,90,94,95,104,115,131,151,159
특수차,영업용,합계,시별 자동차등록[대],대,246,301,329,358,425,514,600,626
특수차,영업용,제주시,시별 자동차등록[대],대,188,241,261,282,339,407,489,512
특수차,영업용,서귀포시,시별 자동차등록[대],대,58,60,68,76,86,107,111,114
이륜자동차,합계,합계,시별 자동차등록[대],대,18258,26013,26480,27421,28592,29886,31012,31575
이륜자동차,합계,제주시,시별 자동차등록[대],대,10990,14849,15352,15978,16817,17745,18503,18996
이륜자동차,합계,서귀포시,시별 자동차등록[대],대,7268,11164,11128,11443,11775,12141,12509,12579
이륜자동차,관용,합계,시별 자동차등록[대],대,195,310,366,365,381,391,488,503
이륜자동차,관용,제주시,시별 자동차등록[대],대,111,172,212,216,234,246,332,316
이륜자동차,관용,서귀포시,시별 자동차등록[대],대,84,138,154,149,147,145,156,187
이륜자동차,자가용,합계,시별 자동차등록[대],대,18063,25703,26114,27056,28211,29495,30524,31072
이륜자동차,자가용,제주시,시별 자동차등록[대],대,10879,14677,15140,15762,16583,17499,18171,18680
이륜자동차,자가용,서귀포시,시별 자동차등록[대],대,7184,11026,10974,11294,11628,11996,12353,12392
