면허종별,지역별,항목,단위,2019 년
총계,계,운전면허소지자현황,,32649584
총계,서울,운전면허소지자현황,,6156938
총계,부산,운전면허소지자현황,,1987274
총계,대구,운전면허소지자현황,,1564518
총계,인천,운전면허소지자현황,,1835073
총계,광주,운전면허소지자현황,,922415
총계,대전,운전면허소지자현황,,930310
총계,울산,운전면허소지자현황,,761649
총계,경기남부,운전면허소지자현황,,6365080
총계,경기북부,운전면허소지자현황,,2174028
총계,강원,운전면허소지자현황,,965185
총계,충북,운전면허소지자현황,,1010467
총계,충남,운전면허소지자현황,,1325804
총계,전북,운전면허소지자현황,,1109083
총계,전남,운전면허소지자현황,,1100435
총계,경북,운전면허소지자현황,,1684299
총계,경남,운전면허소지자현황,,2093990
총계,제주,운전면허소지자현황,,446406
총계,세종,운전면허소지자현황,,216630
1종,계,운전면허소지자현황,,20597365
1종,서울,운전면허소지자현황,,3376050
1종,부산,운전면허소지자현황,,1249151
1종,대구,운전면허소지자현황,,1061438
1종,인천,운전면허소지자현황,,1179011
1종,광주,운전면허소지자현황,,618609
1종,대전,운전면허소지자현황,,605895
1종,울산,운전면허소지자현황,,513906
1종,경기남부,운전면허소지자현황,,3883061
1종,경기북부,운전면허소지자현황,,1336011
1종,강원,운전면허소지자현황,,660203
1종,충북,운전면허소지자현황,,680588
1종,충남,운전면허소지자현황,,872644
1종,전북,운전면허소지자현황,,749715
1종,전남,운전면허소지자현황,,744068
1종,경북,운전면허소지자현황,,1233838
1종,경남,운전면허소지자현황,,1394696
1종,제주,운전면허소지자현황,,300037
1종,세종,운전면허소지자현황,,138444
대형,계,운전면허소지자현황,,2398248
대형,서울,운전면허소지자현황,,260137
대형,부산,운전면허소지자현황,,131105
대형,대구,운전면허소지자현황,,109425
대형,인천,운전면허소지자현황,,150013
대형,광주,운전면허소지자현황,,80096
대형,대전,운전면허소지자현황,,64732
대형,울산,운전면허소지자현황,,59089
대형,경기남부,운전면허소지자현황,,406855
대형,경기북부,운전면허소지자현황,,165086
대형,강원,운전면허소지자현황,,98056
대형,충북,운전면허소지자현황,,95574
대형,충남,운전면허소지자현황,,130684
대형,전북,운전면허소지자현황,,122368
대형,전남,운전면허소지자현황,,128873
대형,경북,운전면허소지자현황,,161948
대형,경남,운전면허소지자현황,,176027
대형,제주,운전면허소지자현황,,43408
대형,세종,운전면허소지자현황,,14772
보통,계,운전면허소지자현황,,18194473
보통,서울,운전면허소지자현황,,3115533
보통,부산,운전면허소지자현황,,1117303
보통,대구,운전면허소지자현황,,951883
보통,인천,운전면허소지자현황,,1028647
보통,광주,운전면허소지자현황,,538409
보통,대전,운전면허소지자현황,,541038
보통,울산,운전면허소지자현황,,454726
보통,경기남부,운전면허소지자현황,,3475422
보통,경기북부,운전면허소지자현황,,1170593
보통,강원,운전면허소지자현황,,562062
보통,충북,운전면허소지자현황,,584894
보통,충남,운전면허소지자현황,,741731
보통,전북,운전면허소지자현황,,627230
보통,전남,운전면허소지자현황,,614970
보통,경북,운전면허소지자현황,,1071568
보통,경남,운전면허소지자현황,,1218211
보통,제주,운전면허소지자현황,,256605
보통,세종,운전면허소지자현황,,123648
소형,계,운전면허소지자현황,,10
소형,서울,운전면허소지자현황,,2
소형,부산,운전면허소지자현황,,3
소형,대구,운전면허소지자현황,,0
소형,인천,운전면허소지자현황,,2
소형,광주,운전면허소지자현황,,0
소형,대전,운전면허소지자현황,,0
소형,울산,운전면허소지자현황,,0
소형,경기남부,운전면허소지자현황,,1
소형,경기북부,운전면허소지자현황,,1
소형,강원,운전면허소지자현황,,0
소형,충북,운전면허소지자현황,,0
소형,충남,운전면허소지자현황,,0
소형,전북,운전면허소지자현황,,1
소형,전남,운전면허소지자현황,,0
소형,경북,운전면허소지자현황,,0
소형,경남,운전면허소지자현황,,0
소형,제주,운전면허소지자현황,,0
소형,세종,운전면허소지자현황,,0
대형 견인,계,운전면허소지자현황,,2626
대형 견인,서울,운전면허소지자현황,,155
대형 견인,부산,운전면허소지자현황,,660
대형 견인,대구,운전면허소지자현황,,50
대형 견인,인천,운전면허소지자현황,,248
대형 견인,광주,운전면허소지자현황,,42
대형 견인,대전,운전면허소지자현황,,41
대형 견인,울산,운전면허소지자현황,,66
대형 견인,경기남부,운전면허소지자현황,,294
대형 견인,경기북부,운전면허소지자현황,,73
대형 견인,강원,운전면허소지자현황,,37
대형 견인,충북,운전면허소지자현황,,70
대형 견인,충남,운전면허소지자현황,,113
대형 견인,전북,운전면허소지자현황,,76
대형 견인,전남,운전면허소지자현황,,168
대형 견인,경북,운전면허소지자현황,,195
대형 견인,경남,운전면허소지자현황,,319
대형 견인,제주,운전면허소지자현황,,10
대형 견인,세종,운전면허소지자현황,,9
소형 견인,계,운전면허소지자현황,,1200
소형 견인,서울,운전면허소지자현황,,142
소형 견인,부산,운전면허소지자현황,,35
소형 견인,대구,운전면허소지자현황,,60
소형 견인,인천,운전면허소지자현황,,46
소형 견인,광주,운전면허소지자현황,,34
소형 견인,대전,운전면허소지자현황,,58
소형 견인,울산,운전면허소지자현황,,13
소형 견인,경기남부,운전면허소지자현황,,283
소형 견인,경기북부,운전면허소지자현황,,192
소형 견인,강원,운전면허소지자현황,,34
소형 견인,충북,운전면허소지자현황,,27
소형 견인,충남,운전면허소지자현황,,83
소형 견인,전북,운전면허소지자현황,,19
소형 견인,전남,운전면허소지자현황,,21
소형 견인,경북,운전면허소지자현황,,79
소형 견인,경남,운전면허소지자현황,,54
소형 견인,제주,운전면허소지자현황,,8
소형 견인,세종,운전면허소지자현황,,12
구난,계,운전면허소지자현황,,808
구난,서울,운전면허소지자현황,,81
구난,부산,운전면허소지자현황,,45
구난,대구,운전면허소지자현황,,20
구난,인천,운전면허소지자현황,,55
구난,광주,운전면허소지자현황,,28
구난,대전,운전면허소지자현황,,26
구난,울산,운전면허소지자현황,,12
구난,경기남부,운전면허소지자현황,,206
구난,경기북부,운전면허소지자현황,,66
구난,강원,운전면허소지자현황,,14
구난,충북,운전면허소지자현황,,23
구난,충남,운전면허소지자현황,,33
구난,전북,운전면허소지자현황,,21
구난,전남,운전면허소지자현황,,36
구난,경북,운전면허소지자현황,,48
구난,경남,운전면허소지자현황,,85
구난,제주,운전면허소지자현황,,6
구난,세종,운전면허소지자현황,,3
2종,계,운전면허소지자현황,,12052219
2종,서울,운전면허소지자현황,,2780888
2종,부산,운전면허소지자현황,,738123
2종,대구,운전면허소지자현황,,503080
2종,인천,운전면허소지자현황,,656062
2종,광주,운전면허소지자현황,,303806
2종,대전,운전면허소지자현황,,324415
2종,울산,운전면허소지자현황,,247743
2종,경기남부,운전면허소지자현황,,2482019
2종,경기북부,운전면허소지자현황,,838017
2종,강원,운전면허소지자현황,,304982
2종,충북,운전면허소지자현황,,329879
2종,충남,운전면허소지자현황,,453160
2종,전북,운전면허소지자현황,,359368
2종,전남,운전면허소지자현황,,356367
2종,경북,운전면허소지자현황,,450461
2종,경남,운전면허소지자현황,,699294
2종,제주,운전면허소지자현황,,146369
2종,세종,운전면허소지자현황,,78186
보통,계,운전면허소지자현황,,11738990
보통,서울,운전면허소지자현황,,2741364
보통,부산,운전면허소지자현황,,723772
보통,대구,운전면허소지자현황,,491726
보통,인천,운전면허소지자현황,,647016
보통,광주,운전면허소지자현황,,298905
보통,대전,운전면허소지자현황,,318795
보통,울산,운전면허소지자현황,,243364
보통,경기남부,운전면허소지자현황,,2451972
보통,경기북부,운전면허소지자현황,,826927
보통,강원,운전면허소지자현황,,293433
보통,충북,운전면허소지자현황,,313479
보통,충남,운전면허소지자현황,,424046
보통,전북,운전면허소지자현황,,337943
보통,전남,운전면허소지자현황,,327813
보통,경북,운전면허소지자현황,,414776
보통,경남,운전면허소지자현황,,666956
보통,제주,운전면허소지자현황,,140430
보통,세종,운전면허소지자현황,,76273
소형,계,운전면허소지자현황,,10588
소형,서울,운전면허소지자현황,,3294
소형,부산,운전면허소지자현황,,851
소형,대구,운전면허소지자현황,,539
소형,인천,운전면허소지자현황,,519
소형,광주,운전면허소지자현황,,184
소형,대전,운전면허소지자현황,,255
소형,울산,운전면허소지자현황,,176
소형,경기남부,운전면허소지자현황,,1551
소형,경기북부,운전면허소지자현황,,567
소형,강원,운전면허소지자현황,,230
소형,충북,운전면허소지자현황,,230
소형,충남,운전면허소지자현황,,399
소형,전북,운전면허소지자현황,,304
소형,전남,운전면허소지자현황,,291
소형,경북,운전면허소지자현황,,449
소형,경남,운전면허소지자현황,,642
소형,제주,운전면허소지자현황,,78
소형,세종,운전면허소지자현황,,29
원동기장치,계,운전면허소지자현황,,302641
원동기장치,서울,운전면허소지자현황,,36230
원동기장치,부산,운전면허소지자현황,,13500
원동기장치,대구,운전면허소지자현황,,10815
원동기장치,인천,운전면허소지자현황,,8527
원동기장치,광주,운전면허소지자현황,,4717
원동기장치,대전,운전면허소지자현황,,5365
원동기장치,울산,운전면허소지자현황,,4203
원동기장치,경기남부,운전면허소지자현황,,28496
원동기장치,경기북부,운전면허소지자현황,,10523
원동기장치,강원,운전면허소지자현황,,11319
원동기장치,충북,운전면허소지자현황,,16170
원동기장치,충남,운전면허소지자현황,,28715
원동기장치,전북,운전면허소지자현황,,21121
원동기장치,전남,운전면허소지자현황,,28263
원동기장치,경북,운전면허소지자현황,,35236
원동기장치,경남,운전면허소지자현황,,31696
원동기장치,제주,운전면허소지자현황,,5861
원동기장치,세종,운전면허소지자현황,,1884
