행정시,노선/도로명,단속구간,거리(Km),비고,데이터기준일자
제주시,오현길,삼성혈입구↔제주은행 본점(오현교) ,0.06,특이사항없음,2019-10-31
제주시,성지로,남문로타리↔조양아파트,0.2,특이사항없음,2019-10-31
제주시,동광로5길,삼성혈입구↔GS25시 동광양점 ,0.5,특이사항없음,2019-10-31
제주시,중앙로,광양 4가↔탑동 4가,2,특이사항없음,2019-10-31
제주시,삼성로,칼호텔 4가↔일도2동 주민센터 3가 ,1.5,특이사항없음,2019-10-31
제주시,전농로,적십자회관 5가↔칼호텔4가,1.2,특이사항없음,2019-10-31
제주시,중앙로28길,CU KT점↔GS25 칼호텔점,0.3,특이사항없음,2019-10-31
제주시,동문로,동문R↔사라봉 5가,1,동문 공영주차장.동초등학교,2019-10-31
제주시,동문로6길,삼성열쇠↔동양식당,0.16,특이사항없음,2019-10-31
제주시,중앙로13길,남수교↔동문공영주차장,0.23,특이사항없음,2019-10-31
제주시,만덕로,CU건입점↔김만덕객주터 ,0.4,특이사항없음,2019-10-31
제주시,관덕로15길,SC제일은행↔탑고향 흑돼지촌(동성장여관) ,0.05,특이사항없음,2019-10-31
제주시,고마로17길.19길,CU제주 서해점↔앤 미용실. 뚜레주르 일도점↔CU 인제점,0.12,인제 공영주차장.인화초등학교,2019-10-31
제주시,천수로9길,정다운 플라워↔앤 미용실(인제공영주차빌딩) ,0.16,특이사항없음,2019-10-31
제주시,천수로,수협 일도지점 4가↔장애인 인권포럼 앞,1.1,특이사항없음,2019-10-31
제주시,천수동로,삼화아파트↔우성아파트 4가 ,0.9,특이사항없음,2019-10-31
제주시,연수로,혜성대유아파트 3가↔동광초교 4가 ,0.6,특이사항없음,2019-10-31
제주시,고마로,인제 4가↔도 선관위 4가 ,1.5,특이사항없음,2019-10-31
제주시,동광로,광양 4가↔국립제주박물관 ,2.1,시청주차장.광양초등학교,2019-10-31
제주시,광양9길,구)한국은행 앞↔24시열쇠 ,0.24,특이사항없음,2019-10-31
제주시,동광로2길,구)남문지구대↔제주시청 정문 ,0.13,특이사항없음,2019-10-31
제주시,동광로23길,삼화아파트 4가↔장원빌라 ,0.33,특이사항없음,2019-10-31
제주시,고마로,인제 4가↔사라봉 5가,0.8,특이사항없음,2019-10-31
제주시,서광로,오라 오거리↔광양 4가 ,2.15,아람가든앞 공영주차장.삼성초등학교 ,2019-10-31
제주시,신성로12.14길,아람가든 공영주차장 주변,0.1,특이사항없음,2019-10-31
제주시,다호로,공항입구 공영주차장↔오양항공해운. 한성렌트카↔로젠택배 ,1.54,공항입구 공영주차장. 됻두암 공영주차장,2019-10-31
제주시,공항로1길,공항입구↔용문로 ,0.4,특이사항없음,2019-10-31
제주시,흥운길,용문로타리↔GS25 제주용흥점 ,0.35,특이사항없음,2019-10-31
제주시,용두암길,바위섬펜션↔서한두기입구 사거리,0.3,특이사항없음,2019-10-31
제주시,도남로,도남입구 3가↔도남우체국 ,0.9,도남초등학교,2019-10-31
제주시,신성로,종합경기장 4가↔제주시농협 1.16,,특이사항없음,2019-10-31
제주시,동고산로,세븐일레븐 제주고산로점↔혜동종합상사 4가,0.5,특이사항없음,2019-10-31
제주시,중앙로,광양 4가↔아라초 4가(조선한의원 포함),3,특이사항없음,2019-10-31
제주시,연삼로,마리나 4가↔거로 4가(화북) ,6.1,이도초등학교,2019-10-31
제주시,복지로,한국산업인력공단 3가↔한아름마트 3가,1.2,특이사항없음,2019-10-31
제주시,구남로,이도초교 4가 서측도로(대림박스↔아라장식) ,0.16,특이사항없음,2019-10-31
제주시,남광북5길,법원입구 4가↔보네르 카페 4가 ,0.1,이도2동 공영주차장. 남광초등학교,2019-10-31
제주시,구남로7길,주원약국↔이도분식 천국 ,0.05,특이사항없음,2019-10-31
제주시,고산동산5길,이도2동주민센터 4가↔고덕아파트입구 3가 ,0.04,특이사항없음,2019-10-31
제주시,오복3길,GS25 이도사랑점↔남북아파트 4가,0.16,특이사항없음,2019-10-31
제주시,남광로,제주소방소 4가↔우성아파트 4가 ,2.35,특이사항없음,2019-10-31
제주시,연신로,선관위 4가↔수선화아파트 4가 ,0.74,특이사항없음,2019-10-31
제주시,신대로,마리나 사거리↔정실입구 교차로,1.29,특이사항없음,2019-10-31
제주시,삼무로,롯데 시티호텔 5가↔신제주 로타리,0.9,특이사항없음,2019-10-31
제주시,노연로,노형로타리↔코스모스 호텔 4가 ,1.53,특이사항없음,2019-10-31
제주시,신광로.신광로12길,삼무공원입구 교차로↔하늘그린아파트(흘천교위),1.16,특이사항없음,2019-10-31
제주시,문연로,신제주로타리↔한전제주지역본부,0.45,특이사항없음,2019-10-31
제주시,신대로12길,금융감독원 제주지원↔연동지구대,0.05,특이사항없음,2019-10-31
제주시,삼무로7길,더호텔↔GS25크라운점,0.05,특이사항없음,2019-10-31
제주시,연동11길,고려호텔↔제니아호텔 4가 ,0.11,특이사항없음,2019-10-31
제주시,신라면세점,신라면세점 주차장 주변(원노형9길. 연동3길) ,0.16,특이사항없음,2019-10-31
제주시,연삼로,마리나 4가↔신광 4가 ,0.4,신광초등학교,2019-10-31
제주시,도령로,노형로타리↔신광로타리,1.4,특이사항없음,2019-10-31
제주시,도령로15길,삼성디지털프라자↔강원기사 식당 ,0.15,특이사항없음,2019-10-31
제주시,성신로,토마토약국↔중앙동물병원,0.18,특이사항없음,2019-10-31
제주시,월랑로,노형로타리↔도두동입구 3가 ,1.2,월랑초등학교,2019-10-31
제주시,일주서로,신광로타리↔이호테우해변 입구 4가,3.5,특이사항없음,2019-10-31
제주시,정존11길,뜨란채 동측3가↔노형근린공원 ,0.36,특이사항없음,2019-10-31
제주시,임항로,사라봉 5가↔제주부두 교차로 ,1,탑동 공영주차장,2019-10-31
제주시,산지로,동문로타리↔김만덕 기념관 ,0.5,특이사항없음,2019-10-31
제주시,동문로,사라봉 5가↔국립제주박물관,0.88,특이사항없음,2019-10-31
제주시,탑동로,탑동사거리↔삼도 119소방센터,1.07,특이사항없음,2019-10-31
제주시,화삼로,화북우체국↔홍익아동복지센터,1.46,특이사항없음,2019-10-31
제주시,화삼북로,김명자 굴국밥↔매화공원,1.2,특이사항없음,2019-10-31
제주시,삼봉로,도련사거리↔삼양파출소,0.7,신규,2019-10-31
제주시,삼봉로2길,사진수 사거리↔한샘 ,0.22,신규,2019-10-31
제주시,건주로,SK주유소↔한라신협,0.58,신규,2019-10-31
제주시,연삼로,도련사거리↔CU도련사거리점 ,0.1,신규,2019-10-31
제주시,일주동로,국립제주박물관 4가↔삼양파출소 4가 ,3.9,화북초등학교,2019-10-31
제주시,선사로,삼양파출소↔삼양 해수사우나 ,0.38,신규,2019-10-31
제주시,서사로,제주시농협 오라지점↔서문로타리,1.38,북초등학교,2019-10-31
제주시,남성로,남성오거리↔남문로타리,1.66,특이사항없음,2019-10-31
제주시,오라로,오라오거리↔한성건자재상사 ,0.85,특이사항없음,2019-10-31
제주시,관덕로,서문로타리↔동문로타리,0.77,특이사항없음,2019-10-31
제주시,간월동로,축협 한우플라자↔SK-LPG충전소(07~09),1,특이사항없음,2019-10-31
제주시,아봉로,아라초 사거리↔아라 아이파크 앞(07~09) ,0.54,특이사항없음,2019-10-31
제주시,서문로,용문로타리↔서문로타리 ,0.81,특이사항없음,2019-10-31
제주시,용문로,동아렌트카↔용문로타리,0.82,특이사항없음,2019-10-31
제주시,월성로,오라오거리↔월성사거리,0.44,특이사항없음,2019-10-31
제주시,한천로,오라오거리↔남성오거리,0.77,특이사항없음,2019-10-31
제주시,용담로,삼담치안센터↔용담로타리,0.24,특이사항없음,2019-10-31
제주시,용해로,동아렌트카↔카페베네 용담해안로점. 용담1동 앞 급경사 도로,1.5,특이사항없음,2019-10-31
제주시,원노형남1길,노형GS칼텍스↔유나이티드 아파트 ,0.54,특이사항없음,2019-10-31
제주시,신광로10길,유나이티트 아파트↔아이웰 썬랜드호텔,0.3,특이사항없음,2019-10-31
제주시,남녕로,남녕고 앞 교차로↔오일시장 교차로,0.7,특이사항없음,2019-10-31
제주시,노형로,노형로타리↔한라대입구 교차로,0.9,노형초등학교,2019-10-31
제주시,1100로,노형로타리↔수목원 입구 ,1.1,특이사항없음,2019-10-31
제주시,정원로,한라대 3가↔제주우편집중국 서측 삼거리,0.62,특이사항없음,2019-10-31
제주시,신형로,제주우편집중국↔신제주 요양방문센터 ,0.57,특이사항없음,2019-10-31
제주시,과원로,제주일고 사거리↔진주식당 연동점 ,1.79,특이사항없음,2019-10-31
제주시,국기로,진주식당 연동점↔금강산 숯불갈비 삼거리,0.21,특이사항없음,2019-10-31
제주시,연화로 ,과원로 수목원 삼계탕↔한라초 사거리,0.28,특이사항없음,2019-10-31
제주시,한라대학로,한라대입구 교차로↔제주일고 사거리 ,1.2,특이사항없음,2019-10-31
제주시,월광로,오일장 서측입구↔삼주 자동차매매상사,1.25,특이사항없음,2019-10-31
제주시,오광로,월산정수장 입구 교차로 ↔이호해수욕장 ,2.5,특이사항없음,2019-10-31
제주시,가령로,동부경찰서4가 ↔ 큰가름 식당 4가 ,0.79,추가,2019-10-31
제주시,남성로,터미널 서측 4가 ↔ 남성로타리 ,0.48,추가,2019-10-31
제주시,서광로,터미널 동측입구 ↔ 삼화여객 입구,0.18,추가,2019-10-31
제주시,중앙로 13길,현대약국 ↔ 남수교 ↔ 공영주차장,0.4,추가,2019-10-31
제주시,원노형로,명당양과4가 ~ 한라중학교 서측 3가,0.25,추가,2019-10-31
제주시,오복2길,해마루빌 ~ 법원북측공영주차장,0.11,추가,2019-10-31
제주시,다랑곶길,월랑마을1.2공영주차장 ~ 노형제2공영주차장 0,0.15,추가,2019-10-31
서귀포시,중앙로,한진주유소~신세계호텔,2.2,특이사항없음,2019-10-31
서귀포시,동문로,중앙로터리 ~ 동문로터리,0.7,특이사항없음,2019-10-31
서귀포시,중정로,동문로터리 ~ 초원사거리,1.29,특이사항없음,2019-10-31
서귀포시,서문로,중앙로터리 ~ 서문로터리,0.76,특이사항없음,2019-10-31
서귀포시,중산간동로,구 서홍동주민센터 ~ 오일장 입구,1.63,특이사항없음,2019-10-31
서귀포시,일주동로,비석거리 ~ 중앙로터리 ~ 선반천,2.2,특이사항없음,2019-10-31
서귀포시,동홍로,동문로터리 ~ 동홍4가,0.63,특이사항없음,2019-10-31
서귀포시,태평로,서문로터리 ~ 신용갈비,2.02,특이사항없음,2019-10-31
서귀포시,신서귀로. 신서귀로97번길,중산간교차로 ~ 빠레브호텔 4가,1.08,특이사항없음,2019-10-31
서귀포시,김정문화로,빠레브호텔 4가 ~ 밸류호텔,0.43,특이사항없음,2019-10-31
서귀포시,신서귀로,밸류호텔 ~ 신서귀로 교차로,0.74,특이사항없음,2019-10-31
서귀포시,신중로,시청2청사 ~ 선거관리위원회 교차로,0.43,특이사항없음,2019-10-31
서귀포시,칠십리로. 부두로,천지연 ~ 서귀포지역경찰대,1.2,특이사항없음,2019-10-31
서귀포시,서호남로,LH 1단지 ~ 해양안전서 교차로,0.9,특이사항없음,2019-10-31
서귀포시,서호중앙로,일주동로~라마다앙코르~중산간동로,1.63,특이사항없음,2019-10-31
서귀포시,월드컵로,일주동로~월드컵경기장 입구,0.46,특이사항없음,2019-10-31
서귀포시,신서귀로,월드컵경기장입구3가~벨류호텔4가,0.23,특이사항없음,2019-10-31
서귀포시,신서귀로97번길,성산아파트입구 3가~빠레브호텔4가,0.25,특이사항없음,2019-10-31
서귀포시,김정문화로,중흥S클래스3가,0.6,특이사항없음,2019-10-31
서귀포시,신서로,일주서로~모던빌,0.63,특이사항없음,2019-10-31
서귀포시,천지로,천지동주민센터~의정부식당,0.45,아랑조을거리 1번가 한줄주차. 일방통행,2019-10-31
서귀포시,서문로29번길,목마~굴세상,0.31,아랑조을거리 2번가 한줄주차. 일방통행,2019-10-31
서귀포시,동문동로,오는정김밥~중앙동주민센터~중앙초등학교,0.45,표지판 설치,2019-10-31
서귀포시,동홍서로,윤헤어~금강민물장어,0.27,특이사항없음,2019-10-31
서귀포시,홍중로,동홍4가~남주고 앞 4가,2.36,특이사항없음,2019-10-31
서귀포시,중산간동로,토평4가 ~ 토평 해 뜨는 집,0.62,차선도색. 표지판설치,2019-10-31
서귀포시,토평로,영천동주민센터~토평신협 ~ 평안요양원,1.6,특이사항없음,2019-10-31
서귀포시,효돈로,미양해장국 ~ 효돈교 ,2.1,특이사항없음,2019-10-31
서귀포시,일주동로,미양해장국~아서원4가 ~ 효돈교,2.1,특이사항없음,2019-10-31
서귀포시,태위로,위미초~하나로마트~세천동버스정류장,2.15,표지판 설치. 태위로 내 한 줄 주차 검토,2019-10-31
서귀포시,표선중앙로.민속해안로,표선신협4가~표선리교차로 ~ 낭구지횟집 앞,1.17,차선도색 및 표지판 설치,2019-10-31
서귀포시,고성오조로,성산교차로 ~ 동남회전교차로,0.41,표지판 설치,2019-10-31
서귀포시,서성일로.일출로,동남회전교차로 ~ 보성우체국 ~ 우주종합상사,0.55,차선도색. 표지판 설치(도로관리사업소 협조 사항),2019-10-31
서귀포시,일출로,광치기 해변. 성산일출봉,0.95,민원다발구간으로 계도. 일렬주차 유도 등,2019-10-31
서귀포시,천제연로,중문우체국~중문관광단지교차로,0.93,특이사항없음,2019-10-31
서귀포시,중문로,중문우체국 ~ 어머니횟집,0.52,한줄주차 시설구간,2019-10-31
서귀포시,중문상로,동부조명~중문동교차로 ~ 상지타운,0.57,차선도색 및 표지판 설치,2019-10-31
서귀포시,천제연로,중문하나로마트3가 ~ 중문초 후문,0.14,어린이보호구역. 차선도색 및 표지판 설치,2019-10-31
서귀포시,중문관광로,중문초입구 회전교차로 ~ ICC,1.07,특이사항없음,2019-10-31
서귀포시,중문관광로.중문관광로110번길,중문관광단지교차로 ~ 여미지 ~ 플레이케이팝~테디베어박물관,1.18,차선도색 및 표지판 설치,2019-10-31
서귀포시,안덕면,화순 신협 4가 남북방향,0.2,한줄주차 검토. 차선도색 및 표지판 설치,2019-10-31
서귀포시,대정읍,대정초후문~현대자동차4가 ~ 원형교차로 ~ 현지24시편의점(동일하모로. 신영로),1.51,차선도색 및 표지판 설치,2019-10-31
서귀포시,에듀시티로,에듀시티로,1.75,어린이보호구역,2019-10-31
